#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
 20260818    11:28:44       0    385     68      -    100     26      0      0      0      0  10251   2700  22132     46      0   1953   1346 
 20260818    11:28:46       0    388     68      -    100     29      0      0      0      0  10251   2700  22132     46      0    497    319 
 20260818    11:28:47       0    393     69      -    100     36      0      0      0      0  10251   2700  22132     46      0    456     82 
 20260818    11:28:48       0    394     70      -    100     40      0      0      0      0  10251   2700  22132     46      0   1622    809 
 20260818    11:28:49       0    389     68      -    100     27      0      0      0      0  10251   2700  22132     46      0   1730     21 
 20260818    11:28:50       0    384     65      -    100     37      0      0      0      0  10251   2700  21972     46      0     19      4 
 20260818    11:28:51       0    378     69      -    100     37      0      0      0      0  10251   2700  21940     46      0     21   1119 
 20260818    11:28:52       0    371     67      -    100     36      0      0      0      0  10251   2700  20916     46      0      2      0 
 20260818    11:28:53       0    377     69      -    100     34      0      0      0      0  10251   2700  20916     46      0     60     74 
 20260818    11:28:54       0    379     68      -    100     32      0      0      0      0  10251   2700  21140     46      0     36      8 
 20260818    11:28:55       0    254     52      -     48      3      0      0      0      0  10251   2700   5716     46      0     19    254 
 20260818    11:28:56       0    137     59      -     51     13      0      0      0      0  10251   2715  21972     46      0      8      3 
 20260818    11:28:57       0    347     74      -    100      1      0      0      0      0  10251   2505  24084     46      0      0      1 
 20260818    11:28:58       0    453     74      -    100      1      0      0      0      0  10251   2475  21908     46      0     36    190 
 20260818    11:28:59       0    387     74      -    100      1      0      0      0      0  10251   2490  22484     46      0      0      0 
 20260818    11:29:00       0    449     71      -    100    100      0      0      0      0  10251   2385  22484     46      0      7      7 
 20260818    11:29:01       0    451     75      -    100      1      0      0      0      0  10251   2445  21364     46      0      0      1 
 20260818    11:29:02       0    448     74      -    100     84      0      0      0      0  10251   2610  21076     46      0     27    400 
 20260818    11:29:03       0    393     75      -    100      1      0      0      0      0  10251   2550  21620     46      0      0      0 
 20260818    11:29:04       0    450     74      -    100      1      0      0      0      0  10251   2520  21620     46      0     11      4 
 20260818    11:29:05       0    448     75      -    100      1      0      0      0      0  10251   2490  21620     46      0      0      2 
 20260818    11:29:07       0    451     75      -    100      1      0      0      0      0  10251   2490  21620     46      0     12      7 
 20260818    11:29:08       0    449     75      -    100      1      0      0      0      0  10251   2460  21620     46      0      0      0 
 20260818    11:29:09       0    450     75      -    100      1      0      0      0      0  10251   2475  21620     46      0     34    403 
 20260818    11:29:10       0    451     75      -    100      1      0      0      0      0  10251   2475  21620     46      0      0      1 
 20260818    11:29:11       0    444     72      -    100     87      0      0      0      0  10251   2520  21620     46      0    113    403 
 20260818    11:29:12       0    447     75      -    100      1      0      0      0      0  10251   2415  21620     46      0      0      0 
 20260818    11:29:13       0    449     70      -    100     91      0      0      0      0  10251   2430  21620     46      0   4845      2 
 20260818    11:29:14       0    447     75      -    100      1      0      0      0      0  10251   2430  21620     46      0      1      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
 20260818    11:29:15       0    448     71      -    100    100      0      0      0      0  10251   2280  21620     46      0   1404      0 
 20260818    11:29:16       0    448     76      -    100      1      0      0      0      0  10251   2400  21620     46      0      0      0 
 20260818    11:29:17       0    448     72      -    100    100      0      0      0      0  10251   2280  21620     46      0      0      0 
 20260818    11:29:18       0    449     76      -    100      1      0      0      0      0  10251   2415  21620     46      0      0      0 
 20260818    11:29:19       0    448     73      -    100     90      0      0      0      0  10251   2310  21620     46      0      0      0 
 20260818    11:29:20       0    449     75      -    100      1      0      0      0      0  10251   2445  21620     46      0      0      1 
 20260818    11:29:21       0    447     74      -    100      1      0      0      0      0  10251   2475  21620     46      0      0      0 
 20260818    11:29:22       0    449     76      -    100      1      0      0      0      0  10251   2460  21620     46      0      0      0 
 20260818    11:29:23       0    449     75      -    100      1      0      0      0      0  10251   2475  21620     46      0      0      0 
 20260818    11:29:24       0    452     76      -    100      1      0      0      0      0  10251   2475  21620     46      0      0      0 
 20260818    11:29:25       0    445     66      -    100     41      0      0      0      0  10251   2535  21620     46      0      0      0 
 20260818    11:29:26       0    450     76      -    100      1      0      0      0      0  10251   2490  21620     46      0      0      0 
 20260818    11:29:28       0    444     70      -    100     91      0      0      0      0  10251   2625  21620     46      0      0      0 
 20260818    11:29:29       0    451     77      -    100      1      0      0      0      0  10251   2460  21620     46      0      0      3 
 20260818    11:29:30       0    446     70      -    100    100      0      0      0      0  10251   2685  21620     46      0      0      0 
 20260818    11:29:31       0    451     76      -    100      1      0      0      0      0  10251   2460  21620     46      0      0      0 
 20260818    11:29:32       0    448     77      -    100      1      0      0      0      0  10251   2460  21620     46      0      0      0 
 20260818    11:29:33       0    449     77      -    100      1      0      0      0      0  10251   2460  21620     46      0      0      0 
 20260818    11:29:34       0    449     77      -    100      1      0      0      0      0  10251   2460  21620     46      0      0      0 
 20260818    11:29:35       0    449     76      -    100      1      0      0      0      0  10251   2460  21620     46      0      0      0 
 20260818    11:29:36       0    447     77      -    100      1      0      0      0      0  10251   2460  21620     46      0      0      0 
 20260818    11:29:37       0    451     77      -    100      1      0      0      0      0  10251   2415  21620     46      0      0      1 
 20260818    11:29:38       0    451     77      -    100      1      0      0      0      0  10251   2460  21620     46      0      0      0 
 20260818    11:29:39       0    450     77      -    100      1      0      0      0      0  10251   2460  21620     46      0     21      4 
 20260818    11:29:40       0    448     77      -    100      1      0      0      0      0  10251   2475  21620     46      0      0      0 
 20260818    11:29:41       0    451     77      -    100      1      0      0      0      0  10251   2475  21620     46      0     11      5 
 20260818    11:29:42       0    446     77      -    100      1      0      0      0      0  10251   2430  21620     46      0      0      0 
 20260818    11:29:43       0    446     73      -    100     24      0      0      0      0  10251   2625  21620     46      0     11      4 
 20260818    11:29:44       0    447     77      -    100      1      0      0      0      0  10251   2445  21620     46      0      0      0 
 20260818    11:29:45       0    448     76      -    100      1      0      0      0      0  10251   2535  21620     46      0      4      3 
 20260818    11:29:46       0    450     76      -    100      1      0      0      0      0  10251   2400  21620     46      0      0      0 
 20260818    11:29:47       0    448     77      -    100      1      0      0      0      0  10251   2430  21620     46      0     35     37 
 20260818    11:29:49       0    448     77      -    100      1      0      0      0      0  10251   2460  21620     46      0      0      8 
 20260818    11:29:50       0    448     77      -    100      1      0      0      0      0  10251   2445  21620     46      0   2142      7 
 20260818    11:29:51       0    448     77      -    100      1      0      0      0      0  10251   2445  21620     46      0      0      0 
 20260818    11:29:52       0    449     77      -    100      1      0      0      0      0  10251   2460  21620     46      0   4847      4 
 20260818    11:29:53       0    451     77      -    100      1      0      0      0      0  10251   2385  21620     46      0      1      0 
 20260818    11:29:54       0    446     71      -    100    100      0      0      0      0  10251   2580  21620     46      0   4366      0 
 20260818    11:29:55       0    446     77      -    100      1      0      0      0      0  10251   2430  21620     46      0      0      0 
 20260818    11:29:56       0    444     70      -     99     84      0      0      0      0  10251   2550  21620     46      0      0      0 
 20260818    11:29:57       0    446     76      -    100      1      0      0      0      0  10251   2415  21620     46      0      0      0 
 20260818    11:29:58       0    450     68      -    100     96      0      0      0      0  10251   2220  21620     46      0      0      0 
 20260818    11:29:59       0    447     77      -    100      1      0      0      0      0  10251   2400  21620     46      0      0      0 
 20260818    11:30:00       0    447     72      -    100    100      0      0      0      0  10251   2295  21620     46      0      0      0 
