2026/08/25 18:50:49.970, 17.91, 450.00, 0, 10, 210, 3105, 440
2026/08/25 18:50:50.079, 17.91, 450.00, 0, 10, 210, 3105, 440
2026/08/25 18:50:50.182, 17.91, 450.00, 0, 10, 210, 3105, 440
2026/08/25 18:50:50.284, 17.91, 450.00, 0, 10, 210, 3105, 440
2026/08/25 18:50:50.387, 17.91, 450.00, 0, 10, 210, 3105, 440
2026/08/25 18:50:50.489, 17.91, 450.00, 0, 10, 210, 3105, 440
2026/08/25 18:50:50.592, 16.66, 450.00, 0, 10, 210, 3105, 440
2026/08/25 18:50:50.694, 16.66, 450.00, 0, 10, 210, 3105, 440
2026/08/25 18:50:50.796, 16.66, 450.00, 0, 10, 210, 3105, 440
2026/08/25 18:50:50.899, 16.66, 450.00, 0, 10, 210, 3105, 440
2026/08/25 18:50:51.001, 16.66, 450.00, 0, 10, 210, 3105, 440
2026/08/25 18:50:51.103, 16.66, 450.00, 0, 10, 210, 3105, 440
2026/08/25 18:50:51.206, 16.66, 450.00, 0, 10, 210, 3105, 440
2026/08/25 18:50:51.308, 16.66, 450.00, 0, 10, 210, 3105, 440
2026/08/25 18:50:51.411, 16.66, 450.00, 0, 10, 210, 3105, 440
2026/08/25 18:50:51.513, 16.66, 450.00, 0, 10, 210, 3105, 492
2026/08/25 18:50:51.615, 17.24, 450.00, 1, 3, 210, 3105, 626
2026/08/25 18:50:51.717, 17.24, 450.00, 1, 3, 210, 3105, 824
2026/08/25 18:50:51.819, 17.24, 450.00, 1, 3, 210, 3105, 888
2026/08/25 18:50:51.921, 17.24, 450.00, 1, 3, 210, 3105, 1080
2026/08/25 18:50:52.023, 17.24, 450.00, 1, 3, 210, 3105, 1208
2026/08/25 18:50:52.126, 29.43, 450.00, 10, 1, 2565, 3105, 1208
2026/08/25 18:50:52.264, 29.43, 450.00, 10, 1, 2565, 3105, 1240
2026/08/25 18:50:52.366, 29.43, 450.00, 10, 1, 2565, 3105, 1240
2026/08/25 18:50:52.469, 29.43, 450.00, 10, 1, 2565, 3105, 1240
2026/08/25 18:50:52.605, 150.64, 450.00, 100, 30, 2565, 3105, 1240
2026/08/25 18:50:52.742, 150.64, 450.00, 100, 30, 2565, 3105, 1240
2026/08/25 18:50:52.882, 150.64, 450.00, 100, 30, 2565, 3105, 1272
2026/08/25 18:50:53.023, 150.64, 450.00, 100, 30, 2565, 3105, 1272
2026/08/25 18:50:53.163, 209.94, 450.00, 100, 31, 2715, 3105, 1272
2026/08/25 18:50:53.265, 209.94, 450.00, 100, 31, 2715, 3105, 1272
2026/08/25 18:50:53.368, 209.94, 450.00, 100, 31, 2715, 3105, 1304
2026/08/25 18:50:53.471, 209.94, 450.00, 100, 31, 2715, 3105, 2776
2026/08/25 18:50:53.573, 209.94, 450.00, 100, 31, 2715, 3105, 2776
2026/08/25 18:50:53.676, 223.01, 450.00, 0, 0, 2715, 3105, 2776
2026/08/25 18:50:53.778, 223.01, 450.00, 0, 0, 2715, 3105, 2778
2026/08/25 18:50:53.880, 223.01, 450.00, 0, 0, 2715, 3105, 2778
2026/08/25 18:50:53.982, 223.01, 450.00, 0, 0, 2715, 3105, 2778
2026/08/25 18:50:54.084, 165.59, 450.00, 19, 2, 2715, 3105, 3082
2026/08/25 18:50:54.186, 165.59, 450.00, 19, 2, 2715, 3105, 3618
2026/08/25 18:50:54.289, 165.59, 450.00, 19, 2, 2715, 3105, 4738
